category,overall_pvalue,video1pvalue,video2pvalue,video3pvalue,video4pvalue,video5pvalue,video6pvalue,video7pvalue,video8pvalue,video1concordance,video2concordance,video3concordance,video4concordance,video5concordance,video6concordance,video7concordance,video8concordance,video1mean,video2mean,video3mean,video4mean,video5mean,video6mean,video7mean,video8mean,video1sd,video2sd,video3sd,video4sd,video5sd,video6sd,video7sd,video8sd
37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99444444444444446,0.99375000000000002,1.0,0.98378378378378384,1.0,1.0,1.0,1.0,0.0027777777777777779,0.0031250000000000002,0.0,0.0081081081081081086,0.0,0.0,0.0,0.0,0.052631375893045611,0.055814284685911722,0.0,0.089679243367767891,0.0,0.0,0.0,0.0
38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99459459459459465,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0027027027027027029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051917223546752836,0.0,0.0,0.0,0.0
39.0,0.089099999999999999,1.0,1.0,1.0,1.0,0.0419,1.0,0.0,0.0,0.98333333333333328,0.98124999999999996,1.0,1.0,0.7978494623655914,0.98857142857142855,0.80111111111111111,0.88194444444444442,0.0083333333333333332,0.0093749999999999997,0.0,0.0,0.10967741935483871,0.0057142857142857143,0.16,0.068750000000000006,0.09090593428863096,0.096369649656932968,0.0,0.0,0.31248725260160864,0.075376605475845251,0.3666060555964672,0.25302853099996453
40.0,0.017000000000000001,0.17680000000000001,0.31359999999999999,1.0,1.0,0.019300000000000001,0.14019999999999999,0.0,1.0,0.91172839506172842,0.89930555555555558,1.0,1.0,0.74408602150537639,0.9784126984126984,0.95444444444444443,0.97499999999999998,0.047222222222222221,0.053124999999999999,0.0,0.0,0.15161290322580645,0.011428571428571429,0.029999999999999999,0.012500000000000001,0.21211384667347219,0.22428271082497644,0.0,0.0,0.35864527154452863,0.10629185850136157,0.1705872210923198,0.11110243021644486
41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99444444444444446,1.0,0.98285714285714287,1.0,1.0,1.0,1.0,0.99375000000000002,0.0027777777777777779,0.0,0.0085714285714285719,0.0,0.0,0.0,0.0,0.0031250000000000002,0.052631375893045618,0.0,0.092184376028009579,0.0,0.0,0.0,0.0,0.055814284685911722
42.0,0.56359999999999999,1.0,1.0,0.13850000000000001,1.0,1.0,1.0,0.00020000000000000001,1.0,1.0,0.98750000000000004,0.90349206349206346,0.92972972972972978,1.0,1.0,0.9127777777777778,1.0,0.0,0.0062500000000000003,0.051428571428571428,0.035135135135135137,0.0,0.0,0.047500000000000001,0.0,0.0,0.078809501330740564,0.22087026388671643,0.18412131167839027,0.0,0.0,0.21270578271405785,0.0
43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99354838709677418,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0032258064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056704502681441768,0.0,0.0,0.0
44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.91039999999999999,0.0,0.0,0.0,0.7617283950617284,0.65347222222222223,0.70285714285714285,0.65705705705705708,0.79139784946236558,0.67428571428571427,0.71888888888888891,0.65555555555555556,0.17777777777777778,0.55937499999999996,0.33142857142857141,0.55405405405405406,0.1064516129032258,0.45428571428571429,0.56000000000000005,0.58125000000000004,0.38232556742411677,0.49646209258613083,0.47072675032271938,0.49706957183106815,0.30841476458420009,0.4979058184854166,0.49638694583963427,0.49335427179664715
46.0,0.0,0.0,0.0,0.0,0.0,0.91359999999999997,0.0,0.0,0.0,0.76666666666666672,0.66319444444444442,0.70730158730158732,0.65705705705705708,0.79139784946236558,0.67428571428571427,0.64666666666666661,0.66874999999999996,0.17777777777777778,0.53437500000000004,0.32857142857142857,0.55405405405405406,0.1064516129032258,0.45428571428571429,0.495,0.58437499999999998,0.38232556742411677,0.49881695979086355,0.46969377779353139,0.49706957183106815,0.30841476458420009,0.4979058184854166,0.49997499937496875,0.49282944247985028
